DataJamID,RECORD_ID,YEAR,MONTH,Gas_USE_kBtu
207,620643,2010,07,300
207,620644,2010,08,400
207,620645,2010,09,300
207,620646,2010,10,300
207,620647,2010,11,300
207,620648,2010,12,700
208,620649,2010,01,13100
208,620650,2010,02,5900
208,620651,2010,03,10600
208,620652,2010,04,3600
208,620653,2010,05,1400
208,620654,2010,06,1300
208,620655,2010,07,1500
208,620656,2010,08,1400
208,620657,2010,09,1500
208,620658,2010,10,1500
208,620659,2010,11,2300
208,620660,2010,12,5500
209,620661,2010,01,12000
209,620662,2010,02,9000
209,620663,2010,03,14000
209,620664,2010,04,4700
209,620665,2010,05,1500
209,620666,2010,06,1400
209,620667,2010,07,1500
209,620668,2010,08,1500
209,620669,2010,09,2000
209,620670,2010,10,1600
209,620671,2010,11,2200
209,620672,2010,12,6500
210,620673,2010,01,6900
210,620674,2010,02,4800
210,620675,2010,03,7300
210,620676,2010,04,1300
210,620677,2010,05,100
210,620678,2010,06,100
210,620679,2010,07,100
210,620680,2010,09,200
210,620681,2010,10,100
210,620682,2010,11,1500
210,620683,2010,12,3800
217,620684,2010,01,6800
217,620685,2010,02,7400
217,620686,2010,03,5200
217,620687,2010,05,200
217,620688,2010,11,1900
217,620689,2010,12,8500
218,620690,2010,01,10800
218,620691,2010,02,7100
218,620692,2010,03,4500
218,620693,2010,05,1500
218,620694,2010,06,2500
218,620695,2010,08,2100
218,620696,2010,09,1000
218,620697,2010,10,1200
218,620698,2010,11,1900
218,620699,2010,12,7100
219,620700,2010,01,11700
219,620701,2010,02,10100
219,620702,2010,03,6300
219,620703,2010,05,1200
219,620704,2010,06,1400
219,620705,2010,08,1400
219,620706,2010,09,700
219,620707,2010,10,700
219,620708,2010,11,3300
219,620709,2010,12,15200
224,620710,2010,01,10800
224,620711,2010,02,5400
224,620712,2010,03,8500
224,620713,2010,04,3200
224,620714,2010,05,800
224,620715,2010,06,600
224,620716,2010,07,600
224,620717,2010,08,600
224,620718,2010,09,800
224,620719,2010,10,600
224,620720,2010,11,1500
224,620721,2010,12,4600
228,620722,2010,01,18600
228,620723,2010,02,10800
228,620724,2010,03,11800
228,620725,2010,04,3500
228,620726,2010,05,3300
228,620727,2010,06,1900
228,620728,2010,07,2000
228,620729,2010,08,1600
228,620730,2010,09,1900
228,620731,2010,10,2300
228,620732,2010,11,3600
228,620733,2010,12,12000
229,620734,2010,01,400
229,620735,2010,02,400
229,620736,2010,03,500
229,620737,2010,05,500
229,620738,2010,06,800
229,620739,2010,08,1000
229,620740,2010,09,400
229,620741,2010,10,500
229,620742,2010,11,400
229,620743,2010,12,400
230,620744,2010,03,2000
230,620745,2010,04,300
230,620746,2010,05,300
230,620747,2010,06,300
230,620748,2010,07,500
230,620749,2010,08,200
230,620750,2010,12,1700
231,620751,2010,01,1800
231,620752,2010,02,1700
231,620753,2010,03,1800
231,620754,2010,04,1700
231,620755,2010,05,1300
231,620756,2010,06,1000
231,620757,2010,07,1500
231,620758,2010,08,1200
231,620759,2010,09,1200
231,620760,2010,10,1300
231,620761,2010,11,1200
231,620762,2010,12,1600
236,620763,2010,01,8300
236,620764,2010,02,4900
236,620765,2010,03,7900
236,620766,2010,04,700
236,620767,2010,10,100
236,620768,2010,11,900
236,620769,2010,12,7000
237,620770,2010,01,9700
237,620771,2010,02,6600
237,620772,2010,03,9700
237,620773,2010,04,3200
237,620774,2010,05,1600
237,620775,2010,06,700
237,620776,2010,07,500
237,620777,2010,08,800
237,620778,2010,09,1400
237,620779,2010,10,1200
237,620780,2010,11,2700
237,620781,2010,12,5900
241,623408,2010,01,5900
241,623409,2010,02,3000
241,623410,2010,03,5200
241,623411,2010,04,1400
241,623412,2010,05,900
241,623413,2010,06,700
241,623414,2010,07,700
241,623415,2010,08,500
241,623416,2010,09,700
241,623417,2010,10,900
241,623418,2010,11,900
241,623419,2010,12,1900
243,623420,2010,01,6600
243,623421,2010,02,4500
243,623422,2010,03,5500
243,623423,2010,04,2100
243,623424,2010,05,1300
243,623425,2010,06,900
243,623426,2010,07,800
243,623427,2010,08,800
243,623428,2010,09,300
243,623429,2010,10,300
243,623430,2010,11,400
243,623431,2010,12,700
244,623432,2010,01,5900
244,623433,2010,02,4200
244,623434,2010,03,5200
244,623435,2010,04,1700
244,623436,2010,05,1000
244,623437,2010,06,600
244,623438,2010,07,700
244,623439,2010,08,600
244,623440,2010,09,900
246,623441,2010,01,10900
246,623442,2010,02,5400
246,623443,2010,03,8700
246,623444,2010,04,2000
246,623445,2010,07,100
246,623446,2010,09,100
246,623447,2010,10,200
246,623448,2010,11,900
246,623449,2010,12,5300
248,623450,2010,01,1600
248,623451,2010,02,1800
248,623452,2010,03,3100
248,623453,2010,04,900
248,623454,2010,05,900
248,623455,2010,06,600
248,623456,2010,07,700
248,623457,2010,08,600
248,623458,2010,09,600
248,623459,2010,10,600
248,623460,2010,11,700
248,623461,2010,12,2400
249,623462,2010,01,5900
249,623463,2010,02,7500
249,623464,2010,03,7000
249,623465,2010,04,3600
249,623466,2010,05,1000
249,623467,2010,06,800
249,623468,2010,07,700
249,623469,2010,08,600
249,623470,2010,09,600
249,623471,2010,10,700
249,623472,2010,11,800
249,623473,2010,12,2800
250,623474,2010,01,3100
250,623475,2010,02,1300
250,623476,2010,03,2200
250,623477,2010,04,3200
250,623478,2010,05,1000
250,623479,2010,06,600
250,623480,2010,07,600
250,623481,2010,08,800
250,623482,2010,09,800
250,623483,2010,10,700
250,623484,2010,11,1000
250,623485,2010,12,1800
253,623486,2010,01,1300
253,623487,2010,02,2100
253,623488,2010,03,1200
253,623489,2010,04,600
253,623490,2010,05,300
253,623491,2010,06,300
253,623492,2010,07,300
253,623493,2010,08,300
253,623494,2010,09,200
253,623495,2010,10,300
253,623496,2010,11,300
253,623497,2010,12,400
254,623498,2010,01,1500
254,623499,2010,02,6500
254,623500,2010,03,6300
254,623501,2010,04,3600
254,623502,2010,05,1000
254,623503,2010,06,800
254,623504,2010,07,500
254,623505,2010,08,400
254,623506,2010,09,400
254,623507,2010,10,600
254,623508,2010,11,900
254,623509,2010,12,1400
255,623510,2010,01,16100
255,623511,2010,02,17700
