DataJamID,FACILITYTYPEID,YEARCOMPLETED,CENSUSDIVISIONID,GROSSFLOORAREA,NUMFLOORS,WALLTYPEID,WINDOWGLASSTYPE,ATTICINSTHICKNESS,WALLINSTHICKNESS,ZIPCODE,CLIMATEZONEID,ASSET_HEATING_FUEL_ID,HEATING_SYS,HEATINGSYST_EFF,HEATINGSYST_EFF_FLAG,ASSET_COOLING_FUEL_ID,COOLING_SYS,COOLINGSYST_EFF,COOLINGSYST_EFF_FLAG
21066,1,1981,,1012,1,,,,,32653,,2,4,,,2,19,7,
21067,1,1984,,1144,1,,,,,32653,,2,4,,,2,19,7,
21068,1,1978,,1064,1,,,,,32653,,2,4,,,2,19,6,
21069,1,1978,,1058,1,,,,,32653,,2,4,,,2,19,6,
21070,1,1984,,1178,1,,,,,32653,,2,4,,,2,19,7,
21071,1,1978,,1226,1,,,,,32653,,2,4,,,2,19,6,
21072,1,1978,,5117,2,,,,,32608,,2,4,,,2,19,6,
21073,1,1983,,2473,1,,,,,32653,,2,4,,,2,19,7,
21074,1,1998,,2103,1,,,,,32653,,2,4,,,2,19,10,
21075,1,1984,,1386,1,,,,,32653,,2,4,,,2,19,7,
21076,1,1979,,1496,1,,,,,32653,,2,4,,,2,19,6,
21077,1,1984,,1818,1,,,,,32653,,2,4,,,2,19,7,
21078,1,1995,,1606,1,,,,,32653,,2,4,,,2,19,10,
21079,1,1994,,3330,2,,,,,32653,,2,4,,,2,19,10,
21080,1,1982,,1414,1,,,,,32653,,1,1,,,2,19,7,
21081,1,1995,,1470,1,,,,,32653,,2,4,,,2,19,10,
21082,1,2000,,3384,2,,,,,32653,,2,4,,,2,19,10,
21083,1,1983,,2106,1,,,,,32653,,2,4,,,2,19,7,
21084,1,1991,,2109,1,,,,,32653,,1,1,,,2,19,10,
21085,1,1978,,1505,2,,,,,32653,,1,1,,,2,19,6,
21086,1,1992,,1962,1,,,,,32608,,2,4,,,2,19,10,
21087,1,1976,,1633,1,,,,,32653,,2,4,,,2,19,6,
21088,1,1980,,1806,1,,,,,32653,,2,4,,,2,19,13,
21089,1,1981,,1825,1,,,,,32653,,2,4,,,2,19,7,
21090,1,1978,,1782,1,,,,,32653,,2,4,,,2,19,6,
21091,1,1981,,1824,1,,,,,32653,,2,4,,,2,19,7,
21092,1,1987,,3224,3,,,,,32653,,2,4,,,2,19,8,
21093,1,1976,,1604,1,,,,,32608,,1,1,,,2,19,6,
21094,1,1988,,2057,1,,,,,32608,,2,4,,,2,19,8,
21095,1,1984,,2692,1,,,,,32608,,2,4,,,2,19,7,
21096,1,1986,,1348,1,,,,,32608,,2,4,,,2,19,8,
21097,1,1984,,1450,1,,,,,32608,,2,4,,,2,19,7,
21098,1,1986,,1131,1,,,,,32608,,2,4,,,2,19,8,
21099,1,1986,,1669,1,,,,,32653,,2,4,,,2,19,8,
21100,1,1988,,2577,1,,,,,32607,,1,1,,,2,19,8,
21101,1,1977,,2167,1,,,,,32607,,1,1,,,2,19,6,
21102,1,1983,,1409,1,,,,,32608,,2,4,,,2,19,7,
21103,1,1984,,3014,1,,,,,32607,,1,1,,,2,19,7,
21104,1,2003,,1944,1,,,,,32607,,1,1,,,2,19,10,
21105,1,1983,,1816,1,,,,,32653,,2,4,,,2,19,7,
21106,1,1984,,1356,1,,,,,32608,,2,4,,,2,19,7,
21107,1,1983,,1376,1,,,,,32608,,2,4,,,2,19,7,
21108,1,2003,,2000,1,,,,,32607,,1,1,,,2,19,10,
21109,1,1977,,2293,1,,,,,32607,,2,4,,,2,19,6,
21110,1,1988,,2807,1,,,,,32607,,1,1,,,2,19,8,
21111,1,1987,,2411,3,,,,,32607,,1,1,,,2,19,8,
21112,1,1988,,2609,1,,,,,32607,,1,1,,,2,19,8,
21113,1,1988,,1215,1,,,,,32608,,2,4,,,2,19,8,
21114,1,1989,,2174,1,,,,,32608,,2,4,,,2,19,8,
21115,1,1980,,2164,1,,,,,32607,,1,1,,,2,19,13,
21116,1,1993,,2724,1,,,,,32607,,1,1,,,2,19,10,
21117,1,2005,,4769,2,,,,,32653,,2,4,,,2,19,12,
21118,1,2002,,1944,1,,,,,32607,,1,1,,,2,19,10,
21119,1,2005,,2636,1,,,,,32607,,1,1,,,2,19,12,
21120,1,1987,,2122,1,,,,,32607,,2,4,,,2,19,8,
21121,1,1983,,1909,1,,,,,32607,,1,1,,,2,19,7,
21122,1,1977,,2742,1,,,,,32607,,1,1,,,2,19,6,
21123,1,1984,,2454,1,,,,,32607,,1,1,,,2,19,7,
21124,1,2000,,1297,1,,,,,32608,,2,4,,,2,19,10,
21125,1,1985,,2406,1,,,,,32607,,1,1,,,2,19,7,
21126,1,1984,,1656,3,,,,,32607,,2,4,,,2,19,7,
21127,1,1980,,3172,1,,,,,32607,,1,1,,,2,19,13,
21128,1,1983,,1430,1,,,,,32608,,2,4,,,2,19,7,
21129,1,2004,,4702,2,,,,,32653,,2,4,,,2,19,10,
21130,1,1989,,2615,,,,,,32608,,2,4,,,2,19,8,
21131,1,1980,,2110,1,,,,,32607,,1,1,,,2,19,13,
21132,1,1977,,2309,2,,,,,32607,,1,1,,,2,19,6,
21133,1,1994,,2325,1,,,,,32607,,1,1,,,2,19,10,
21134,1,1983,,1996,1,,,,,32607,,2,4,,,2,19,7,
21135,1,1998,,1860,1,,,,,32608,,2,4,,,2,19,10,
21136,1,1977,,3389,1,,,,,32607,,1,1,,,2,19,6,
21137,1,1985,,2322,1,,,,,32607,,2,4,,,2,19,7,
21138,1,1992,,1947,2,,,,,32606,,2,4,,,2,19,10,
21139,1,1995,,2363,1,,,,,32607,,1,1,,,2,19,10,
21140,1,1983,,2437,2,,,,,32608,,2,4,,,2,19,7,
21141,1,1983,,2126,1,,,,,32607,,1,1,,,2,19,7,
21142,1,1991,,1303,1,,,,,32606,,2,4,,,2,19,10,
21143,1,1988,,1926,1,,,,,32608,,2,4,,,2,19,8,
21144,1,1988,,2693,1,,,,,32607,,1,1,,,2,19,8,
21145,1,1984,,1703,1,,,,,32608,,2,4,,,2,19,7,
21146,1,1989,,2342,1,,,,,32608,,2,4,,,2,19,8,
21147,1,1976,,1560,1,,,,,32607,,2,4,,,2,19,6,
21148,1,1985,,1814,1,,,,,32607,,1,1,,,2,19,7,
21149,1,1991,,2251,1,,,,,32607,,1,1,,,2,19,10,
21150,1,1983,,2096,1,,,,,32607,,1,1,,,2,19,7,
21151,1,1988,,2036,1,,,,,32608,,2,4,,,2,19,8,
21152,1,2005,,2789,1,,,,,32607,,1,1,,,2,19,12,
21153,1,1984,,2103,1,,,,,32607,,1,1,,,2,19,7,
21154,1,1977,,2232,3,,,,,32607,,1,1,,,2,19,6,
21155,1,1990,,1669,1,,,,,32606,,2,4,,,2,19,8,
21156,1,1994,,2129,1,,,,,32607,,1,1,,,2,19,10,
21157,1,1984,,1728,1,,,,,32608,,2,4,,,2,19,7,
21158,1,1993,,1712,2,,,,,32606,,2,4,,,2,19,10,
21159,1,1978,,2322,1,,,,,32607,,1,1,,,2,19,6,
21160,1,1985,,2990,3,,,,,32607,,1,1,,,2,19,7,
